STATION CODE,LOCATIONS,STATE,Temp,PH,Conductivity,BOD,NI,Fec_col,Tot_col,DO
1740.0,"AT ROADWAYS BUS STATION, UNNAO, U.P",Uttar Pradesh,26.0,7.3,2940.0,,0.0,,,
1741.0,"MAGAWARA INDUSTRIAL AREA NEAR M/S JAMJAM TANNERS, UNNAO, U.P",Uttar Pradesh,26.0,7.5,1202.0,,0.0,,,
1742.0,"Handpump near India Pesticide Ltd., Chinhat ind Area",Uttar Pradesh,25.4,7.2,613.0,0.1,0.2,,,
1743.0,"Handpump near Eveready Inds.,  Aishbagh",Uttar Pradesh,25.5,7.1,1072.0,0.2,17.5,,,
1744.0,"JAJMAU INDUSTRIAL AREA NO. 6 KANPUR, U.P",Uttar Pradesh,29.0,6.9,3923.0,,3.9,,,
1745.0,"PANKI INDUSTRIAL AREA NEAR INDUSTRY OF AMMONIA FERTIZER KANPUR, U.P",Uttar Pradesh,29.0,7.4,1109.0,,4.2,,,
1746.0,Nagar Palika Tube well Sultanpur,Uttar Pradesh,20.7,7.7,622.0,,0.2,,,
1747.0,"India Marka hand pump,Sareny, Raebareli",Uttar Pradesh,21.0,7.8,732.0,,0.2,,,
1749.0,"TUBE WELL AT MEERUT CITY, U.P",Uttar Pradesh,22.0,7.2,625.0,,0.4,,,
1750.0,"TUBE WELL AT BAGPAT CITY, U.P",Uttar Pradesh,22.5,7.6,700.0,,0.4,,,
1752.0,"SAHIBABAD INDUSTRIAL AREA, GHAZIABAD, U.P",Uttar Pradesh,23.3,6.9,2450.0,2.4,2.6,,,
1753.0,"MEERUT ROAD INDUSTRIAL AREA GHAZIABAD, U.P",Uttar Pradesh,23.5,6.7,1812.0,2.3,1.4,,,
1754.0,"HAPUR ROAD INDUSTRIAL AREA GHAZIABAD, U.P",Uttar Pradesh,23.4,6.8,1160.0,1.7,2.0,,,
1755.0,"PILKHUA INDUSTRIAL AREA GHAZIABAD, U.P",Uttar Pradesh,24.0,6.9,1505.0,2.4,1.1,,,
1757.0,"Hand Pump, Mirzapur Industrial area Mirzapur",Uttar Pradesh,23.4,7.3,1377.0,0.2,4.4,,,
1759.0,"IFFCO, PHOOLPUR, ALLAHABAD, U.P",Uttar Pradesh,23.4,7.2,1286.0,0.3,0.7,,,
1760.0,"M/S KANORIA CHEMICAL SONBHADRA, U.P",Uttar Pradesh,23.7,6.9,1297.0,0.4,5.7,,,
1761.0,"TUBE WELL IN SINGRAULI INDUSTRIAL AREA, U.P",Uttar Pradesh,23.4,7.3,999.0,0.4,0.8,,,
1769.0,"Hand Pump, At Industrial Area Naini, Allahabad",Uttar Pradesh,28.9,7.3,2554.0,0.6,0.7,,,
2469.0,"AT INDUSTRIAL AREA. NAINI, ALLAHABAD",Uttar Pradesh,23.8,7.6,1142.0,0.3,0.0,,,
2469.0,"AT INDUSTRIAL AREA. NAINI, ALLAHABAD",Uttar Pradesh,23.8,7.6,1092.0,0.2,0.8,,,
2470.0,"AT INDUSTRIAL AREA, FATEHPUR",Uttar Pradesh,23.4,7.2,1305.0,0.4,1.9,,,
2471.0,"GORAKHPUR INDUSTRIAL DEVELOPMENT AUTHORITY AREA (GIDA), GORAKHPUR",Uttar Pradesh,21.5,8.0,491.0,2.4,0.4,50.0,105.0,
2472.0,"VILLAGE DAURALA, MEERUT",Uttar Pradesh,22.5,7.6,1010.0,,0.2,,,
2473.0,"KHEKRA, BAGHPAT",Uttar Pradesh,20.5,7.5,460.0,,0.4,,,
2474.0,"India Marka hand pump,Unchahar, Raebareli",Uttar Pradesh,20.5,7.8,697.0,,0.3,,,
2475.0,"India Marka hand pump, Ind. Area, Sultanpur Road,Raebareli",Uttar Pradesh,21.5,8.0,725.0,,0.4,,,
2477.0,NEAR ARYA KANYA INTER COLLEGE. JALAUN,Uttar Pradesh,26.2,7.6,1382.0,,0.0,0.0,0.0,
2478.0,"Handpump near Uptron Police Chowki Dewa road,",Uttar Pradesh,25.4,7.4,560.0,0.3,0.2,,,
2480.0,"NEAR BRAHMAN MAJRA, PILKHANI",Uttar Pradesh,20.0,7.5,380.0,,0.0,,,
2267.0,"CREEK AT DANDO MOLLO,VELSAO, MAMUGAO",GOA,30.22,6.74,124.69,1.62,10.17,4442.0,9886.67,6.5
2081.0,AMLAKHADI CREEK AT PUNGAM.,GUJARAT,30.5,7.74,3164.58,32.31,3.44,2592.5,15173.3,1.99
1316.0,BASSEIN CREEK AT BASSIN IN THANE,MAHARASHTRA,25.42,7.8,36176.0,9.08,1.65,275.25,565.42,5.38
1318.0,MAHIM CREEK AT MAHIM BAY,MAHARASHTRA,28.7,7.48,40025.3,12.12,2.44,735.0,1215.0,4.5
1317.0,THANE CREEK AT ELEPHANTA ISLAND,MAHARASHTRA,28.75,7.73,50655.8,10.08,1.67,766.67,1337.5,5.08
2793.0,"THANE CREEK AT KALWA ROAD BRIDGE, KALWA, THANE",MAHARASHTRA,28.25,7.41,16482.9,21.61,1.91,525.0,827.08,3.43
2791.0,"ULHAS CREEK AT RETI BUNDER, D/S OF KALYAN- BHIWANDI BDG",MAHARASHTRA,27.73,7.17,5798.36,18.55,1.92,478.55,723.64,4.53
2792.0,"ULAHS CREEK AT MUMBRA RETI BUNDER, VILLAGE MUMBRA, THANE",MAHARASHTRA,28.08,7.52,21734.8,11.48,2.39,324.17,653.75,4.65
2794.0,"ULHAS CREEK AT KOSHLET RETI BUNDER, KOLSHET, THANE",MAHARASHTRA,28.5,7.37,17271.6,9.5,2.23,188.08,428.75,5.4
2795.0,"ULHAS CREEK AT GAIMUKH AT NAGLA BUNDER ON GHOD BUNDER ROAD, NAGLA, THANE",MAHARASHTRA,28.42,7.59,24135.6,10.08,2.03,178.33,437.92,4.88
2796.0,"ULHAS CREEK AT VERSOVA BRIDGE, VERSOVA, VASAI, THANE",MAHARASHTRA,25.5,7.71,30131.9,9.48,1.94,448.33,802.5,5.24
